Timestep,Cell,CO2
20.0,poly_57,0.0
20.0,poly_58,0.0
20.0,poly_59,0.0
20.0,poly_60,0.0
20.0,poly_61,0.0
20.0,poly_62,0.0
20.0,poly_63,0.0
20.0,poly_64,0.0
20.0,poly_65,0.0
20.0,poly_66,0.0
20.0,poly_67,0.0
20.0,poly_68,0.0
20.0,poly_69,0.0
20.0,poly_70,0.0
20.0,poly_71,0.0
20.0,poly_72,0.0
20.0,poly_73,0.0
20.0,poly_74,0.0
20.0,poly_75,0.0
20.0,poly_76,0.0
20.0,poly_77,0.0
20.0,poly_78,0.0
20.0,poly_79,0.0
20.0,poly_80,0.0
20.0,poly_81,0.0
20.0,poly_82,0.0
20.0,poly_83,0.0
20.0,poly_84,0.0
20.0,poly_85,0.0
20.0,poly_86,0.0
20.0,poly_87,0.0
20.0,poly_88,0.0
20.0,poly_89,0.0
20.0,poly_90,0.0
20.0,poly_91,0.0
20.0,poly_92,6.658755407732571e-10
20.0,poly_93,7.851283597523796e-06
20.0,poly_94,0.00018653051936923918
20.0,poly_95,0.00019438113709122214
20.0,poly_96,0.0
20.0,poly_97,0.0
20.0,poly_98,0.0
20.0,poly_99,0.0
20.0,poly_100,0.0
20.0,poly_101,0.0
20.0,poly_102,0.0
20.0,poly_103,0.0
20.0,poly_104,7.850617721983026e-06
20.0,poly_105,0.09256598624940882
20.0,poly_106,2.199179443279019
20.0,poly_107,2.291737578910705
20.0,poly_108,0.0
20.0,poly_109,0.0
20.0,poly_110,0.0
20.0,poly_111,0.0
20.0,poly_112,0.0
20.0,poly_113,0.0
20.0,poly_114,0.0
20.0,poly_115,0.0
20.0,poly_116,0.00017867923577171536
20.0,poly_117,2.106792136265381
20.0,poly_118,50.053093420870965
20.0,poly_119,52.15970687790056
20.0,poly_120,0.0
20.0,poly_121,0.0
20.0,poly_122,0.0
20.0,poly_123,0.0
20.0,poly_124,0.0
20.0,poly_125,0.0
20.0,poly_126,0.0
20.0,poly_127,0.0
20.0,poly_128,7.850617721983026e-06
20.0,poly_129,0.09256598624940882
20.0,poly_130,2.199179443279019
20.0,poly_131,2.291737578910705
20.0,poly_132,0.0
20.0,poly_133,0.0
20.0,poly_134,0.0
20.0,poly_135,0.0
20.0,poly_136,0.0
20.0,poly_137,0.0
20.0,poly_138,0.0
20.0,poly_139,0.0
20.0,poly_140,6.658755407732571e-10
20.0,poly_141,7.851283597523796e-06
20.0,poly_142,0.00018653051936923918
20.0,poly_143,0.00019438113709122214
30.0,poly_0,0.0
30.0,poly_1,0.0
30.0,poly_2,0.0
30.0,poly_3,0.0
30.0,poly_4,0.0
30.0,poly_5,0.0
30.0,poly_6,0.0
30.0,poly_7,0.0
30.0,poly_8,0.0
30.0,poly_9,0.0
30.0,poly_10,0.0
30.0,poly_11,0.0
30.0,poly_12,0.0
30.0,poly_13,0.0
30.0,poly_14,0.0
30.0,poly_15,0.0
30.0,poly_16,0.0
30.0,poly_17,0.0
30.0,poly_18,0.0
30.0,poly_19,0.0
30.0,poly_20,0.0
30.0,poly_21,0.0
30.0,poly_22,0.0
30.0,poly_23,0.0
30.0,poly_24,0.0
30.0,poly_25,0.0
30.0,poly_26,0.0
30.0,poly_27,0.0
30.0,poly_28,0.0
30.0,poly_29,0.0
30.0,poly_30,0.0
30.0,poly_31,0.0
30.0,poly_32,0.0
30.0,poly_33,0.0
30.0,poly_34,0.0
30.0,poly_35,0.0
30.0,poly_36,0.0
30.0,poly_37,0.0
30.0,poly_38,0.0
30.0,poly_39,0.0
30.0,poly_40,0.0
30.0,poly_41,0.0
30.0,poly_42,0.0
30.0,poly_43,0.0
30.0,poly_44,0.0
30.0,poly_45,0.0
30.0,poly_46,0.0
30.0,poly_47,0.0
30.0,poly_48,0.0
30.0,poly_49,5.884852045653363e-10
30.0,poly_50,6.938780524396198e-06
30.0,poly_51,0.00016485197221212077
30.0,poly_52,0.0001796738525402327
30.0,poly_53,0.000351273837624186
30.0,poly_54,0.0001735840387710718
30.0,poly_55,6.976724540026939e-06
30.0,poly_56,5.916468279187425e-10
30.0,poly_57,0.0
30.0,poly_58,0.0
30.0,poly_59,0.0
30.0,poly_60,0.0
30.0,poly_61,6.938192039191632e-06
30.0,poly_62,0.08180765025625826
30.0,poly_63,1.943591159767534
30.0,poly_64,2.118339906720848
30.0,poly_65,4.141489581850364
30.0,poly_66,2.0465415045085784
30.0,poly_67,0.08225500707192998
30.0,poly_68,6.975468190263181e-06
30.0,poly_69,4.042559821227078e-11
30.0,poly_70,4.922748344000837e-10
30.0,poly_71,5.318278635783219e-10
30.0,poly_72,0.0
30.0,poly_73,0.00015791252295074376
30.0,poly_74,1.8619335376803623
30.0,poly_75,44.235930901015
30.0,poly_76,48.213194049397686
30.0,poly_77,94.25986841384815
30.0,poly_78,46.57906994716359
30.0,poly_79,1.8721153318778976
30.0,poly_80,0.00015878225590082245
30.0,poly_81,1.0148895061784831e-05
30.0,poly_82,0.00022090015567654642
30.0,poly_83,2.173685940366735e-05
30.0,poly_84,0.0
30.0,poly_85,6.938192039191632e-06
30.0,poly_86,0.08180765025625826
30.0,poly_87,1.943591159767534
30.0,poly_88,2.118339906720848
30.0,poly_89,4.141489581850364
30.0,poly_90,2.0465415045094506
30.0,poly_91,0.08225502825969389
30.0,poly_92,0.00014520353896195173
30.0,poly_93,0.1142231364604009
30.0,poly_94,2.5362480417857416
30.0,poly_95,0.182854467735356
30.0,poly_96,0.0
30.0,poly_97,5.884852045653363e-10
30.0,poly_98,6.938780524396198e-06
30.0,poly_99,0.00016485197221212077
30.0,poly_100,0.0001796738525402327
30.0,poly_101,0.000351273837624186
30.0,poly_102,0.00017358407832424838
30.0,poly_103,1.5205132689539248e-05
30.0,poly_104,0.09174526335106559
30.0,poly_105,4.68104846246679
30.0,poly_106,59.47021034519413
30.0,poly_107,8.40900443445804
30.0,poly_108,0.0
30.0,poly_109,0.0
30.0,poly_110,0.0
30.0,poly_111,0.0
30.0,poly_112,0.0
30.0,poly_113,0.0
30.0,poly_114,4.51849236194064e-10
30.0,poly_115,0.0001767046042163118
30.0,poly_116,2.020781715278697
30.0,poly_117,47.58801922139492
30.0,poly_118,42.5844970587104
30.0,poly_119,99.75549469951252
30.0,poly_120,0.0
30.0,poly_121,0.0
30.0,poly_122,0.0
30.0,poly_123,0.0
30.0,poly_124,0.0
30.0,poly_125,0.0
30.0,poly_126,3.95531765849111e-11
30.0,poly_127,8.228408149659716e-06
30.0,poly_128,0.09153597114399044
30.0,poly_129,2.2137433145305443
30.0,poly_130,5.971282005940603
30.0,poly_131,69.18037099510882
30.0,poly_132,0.0
30.0,poly_133,0.0
30.0,poly_134,0.0
30.0,poly_135,0.0
30.0,poly_136,0.0
30.0,poly_137,0.0
30.0,poly_138,8.724216273596802e-13
30.0,poly_139,2.1191239876568964e-08
30.0,poly_140,0.00012905297707996308
30.0,poly_141,0.006208190184515144
30.0,poly_142,4.787985534017883
30.0,poly_143,112.19419645896649
30.0,poly_0,0.0
30.0,poly_1,0.0
30.0,poly_2,0.0
30.0,poly_3,0.0
30.0,poly_4,0.0
30.0,poly_5,0.0
30.0,poly_6,0.0
30.0,poly_7,0.0
30.0,poly_8,0.0
30.0,poly_9,0.0
30.0,poly_10,0.0
30.0,poly_11,0.0
30.0,poly_12,0.0
30.0,poly_13,0.0
30.0,poly_14,0.0
30.0,poly_15,0.0
30.0,poly_16,0.0
30.0,poly_17,0.0
30.0,poly_18,0.0
30.0,poly_19,0.0
30.0,poly_20,0.0
30.0,poly_21,0.0
30.0,poly_22,0.0
30.0,poly_23,0.0
30.0,poly_24,0.0
30.0,poly_25,0.0
30.0,poly_26,0.0
30.0,poly_27,0.0
30.0,poly_28,0.0
30.0,poly_29,0.0
30.0,poly_30,0.0
30.0,poly_31,0.0
30.0,poly_32,0.0
30.0,poly_33,0.0
30.0,poly_34,0.0
30.0,poly_35,0.0
30.0,poly_36,0.0
30.0,poly_37,0.0
30.0,poly_38,0.0
30.0,poly_39,0.0
30.0,poly_40,0.0
30.0,poly_41,0.0
30.0,poly_42,0.0
30.0,poly_43,0.0
30.0,poly_44,0.0
30.0,poly_45,0.0
30.0,poly_46,0.0
30.0,poly_47,0.0
30.0,poly_48,0.0
30.0,poly_49,5.884852045653363e-10
30.0,poly_50,6.938780524396198e-06
30.0,poly_51,0.00016485197221212077
30.0,poly_52,0.0001796738525402327
30.0,poly_53,0.000351273837624186
30.0,poly_54,0.0001735840387710718
30.0,poly_55,6.976724540026939e-06
30.0,poly_56,5.916468279187425e-10
30.0,poly_57,0.0
30.0,poly_58,0.0
30.0,poly_59,0.0
30.0,poly_60,0.0
30.0,poly_61,6.938192039191632e-06
30.0,poly_62,0.08180765025625826
30.0,poly_63,1.943591159767534
30.0,poly_64,2.118339906720848
